device_id,month,created_on,fifteen_min,five_min,full_spectrum,humidity,infrared_spectrum,one_min,overall_lux,pircount,temperature,temperature_raw,humidity_raw,temperature_refined,humidity_refined
EDCFFF303433463443206509,201607,2016-07-01 00:00:23,3.0,4.0,29.0,59.41999816894531,12.0,0.0,0.0,0.0,30.51000022888184,30.51000022888184,59.41999816894531,26.51000022888184,75.41999816894531
EDCFFF303433463443206509,201607,2016-07-01 00:00:53,3.0,4.0,28.0,59.93000030517578,11.0,0.0,0.0,0.0,30.54999923706055,30.54999923706055,59.93000030517578,26.54999923706055,75.93000030517578
EDCFFF303433463443206509,201607,2016-07-01 00:01:23,3.0,3.0,26.0,60.4900016784668,10.0,0.0,0.0,0.0,30.57999992370605,30.57999992370605,60.4900016784668,26.57999992370605,76.4900016784668
EDCFFF303433463443206509,201607,2016-07-01 00:01:53,3.0,3.0,29.0,59.5099983215332,12.0,0.0,0.0,0.0,30.540000915527344,30.540000915527344,59.5099983215332,26.540000915527344,75.5099983215332
EDCFFF303433463443206509,201607,2016-07-01 00:02:23,3.0,1.0,30.0,58.54999923706055,12.0,0.0,0.0,1.0,30.489999771118164,30.489999771118164,58.54999923706055,26.489999771118164,74.54999923706055
EDCFFF303433463443206509,201607,2016-07-01 00:02:53,3.0,1.0,27.0,58.38000106811523,11.0,0.0,0.0,1.0,30.479999542236328,30.479999542236328,58.38000106811523,26.479999542236328,74.38000106811523
EDCFFF303433463443206509,201607,2016-07-01 00:03:23,2.0,1.0,27.0,57.75,11.0,4.0,0.0,2.0,30.459999084472656,30.459999084472656,57.75,26.459999084472656,73.75
EDCFFF303433463443206509,201607,2016-07-01 00:03:53,2.0,1.0,27.0,57.33000183105469,11.0,4.0,0.0,2.0,30.40999984741211,30.40999984741211,57.33000183105469,26.40999984741211,73.33000183105469
EDCFFF303433463443206509,201607,2016-07-01 00:04:23,2.0,1.0,28.0,57.29999923706055,11.0,5.0,0.0,3.0,30.32999992370605,30.32999992370605,57.29999923706055,26.32999992370605,73.29999923706055
EDCFFF303433463443206509,201607,2016-07-01 00:04:53,2.0,1.0,28.0,57.18000030517578,11.0,5.0,0.0,2.0,30.29999923706055,30.29999923706055,57.18000030517578,26.29999923706055,73.18000030517578
EDCFFF303433463443206509,201607,2016-07-01 00:05:23,2.0,2.0,29.0,57.099998474121094,12.0,3.0,0.0,1.0,30.270000457763672,30.270000457763672,57.099998474121094,26.270000457763672,73.0999984741211
EDCFFF303433463443206509,201607,2016-07-01 00:05:53,2.0,2.0,29.0,56.77000045776367,12.0,3.0,0.0,1.0,30.25,30.25,56.77000045776367,26.25,72.77000045776367
EDCFFF303433463443206509,201607,2016-07-01 00:06:23,2.0,3.0,30.0,56.7400016784668,12.0,3.0,0.0,2.0,30.190000534057614,30.190000534057614,56.7400016784668,26.190000534057614,72.7400016784668
EDCFFF303433463443206509,201607,2016-07-01 00:06:53,2.0,3.0,33.0,57.72000122070313,13.0,3.0,0.0,1.0,30.229999542236328,30.229999542236328,57.72000122070313,26.229999542236328,73.72000122070312
EDCFFF303433463443206509,201607,2016-07-01 00:07:23,2.0,3.0,33.0,58.59000015258789,14.0,1.0,0.0,0.0,30.28000068664551,30.28000068664551,58.59000015258789,26.28000068664551,74.59000015258789
EDCFFF303433463443206509,201607,2016-07-01 00:07:53,2.0,3.0,32.0,59.11999893188477,13.0,1.0,0.0,0.0,30.32999992370605,30.32999992370605,59.11999893188477,26.32999992370605,75.11999893188477
EDCFFF303433463443206509,201607,2016-07-01 00:08:23,2.0,2.0,28.0,59.27000045776367,11.0,0.0,0.0,0.0,30.38999938964844,30.38999938964844,59.27000045776367,26.38999938964844,75.27000045776367
EDCFFF303433463443206509,201607,2016-07-01 00:08:53,2.0,2.0,26.0,60.04999923706055,10.0,0.0,0.0,0.0,30.45000076293945,30.45000076293945,60.04999923706055,26.45000076293945,76.04999923706055
EDCFFF303433463443206509,201607,2016-07-01 00:09:23,2.0,1.0,24.0,60.099998474121094,9.0,1.0,0.0,1.0,30.53000068664551,30.53000068664551,60.099998474121094,26.53000068664551,76.0999984741211
EDCFFF303433463443206509,201607,2016-07-01 00:09:53,2.0,1.0,23.0,59.68999862670898,9.0,1.0,0.0,0.0,30.61000061035156,30.61000061035156,59.68999862670898,26.61000061035156,75.68999862670898
EDCFFF303433463443206509,201607,2016-07-01 00:10:23,2.0,1.0,23.0,58.81999969482422,9.0,1.0,0.0,1.0,30.61000061035156,30.61000061035156,58.81999969482422,26.61000061035156,74.81999969482422
EDCFFF303433463443206509,201607,2016-07-01 00:10:53,2.0,1.0,22.0,58.13999938964844,9.0,1.0,0.0,2.0,30.60000038146973,30.60000038146973,58.13999938964844,26.60000038146973,74.13999938964844
EDCFFF303433463443206509,201607,2016-07-01 00:11:23,1.0,1.0,24.0,57.599998474121094,9.0,2.0,0.0,0.0,30.57999992370605,30.57999992370605,57.599998474121094,26.57999992370605,73.5999984741211
EDCFFF303433463443206509,201607,2016-07-01 00:11:53,1.0,1.0,25.0,57.18999862670898,10.0,2.0,0.0,2.0,30.56999969482422,30.56999969482422,57.18999862670898,26.56999969482422,73.18999862670898
EDCFFF303433463443206509,201607,2016-07-01 00:12:23,1.0,1.0,27.0,56.88999938964844,11.0,4.0,0.0,3.0,30.479999542236328,30.479999542236328,56.88999938964844,26.479999542236328,72.88999938964844
EDCFFF303433463443206509,201607,2016-07-01 00:12:53,1.0,1.0,28.0,56.83000183105469,11.0,4.0,0.0,2.0,30.399999618530273,30.399999618530273,56.83000183105469,26.399999618530273,72.83000183105469
